system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
0000e1cceca0019def74,1028185200000,0.7,,,,WOLF,305,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67193995917664,37.86342566043181]}"
00000e8fb0082f21046b,1028185200000,0.82,,,,WOLF,304,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67111424946206,37.86448062957909]}"
0000e2bc08f6b409f1e6,1028185200000,1.48,,,,WOLF,306,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67187486206178,37.864769729208454]}"
0000986acf2dd14a3ec1,1028185200000,2.55,,,,WOLF,280,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67261797297567,37.86520339201224]}"
0000ddeefbfe4f5710cf,1028185200000,0.7,,,,WOLF,310,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6675479080745,37.865813993532264]}"
0000008c6f3d56d22383,1028185200000,0.8,,,,WOLF,295,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66787611741971,37.86955499845754]}"
0000dbe538e258b6609e,1028185200000,0.62,,,,WOLF,313,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67200403649913,37.87180413246535]}"
000091c8788ddcc1205f,1028185200000,0.29,,,,WOLF,297,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.67007092732993,37.872100302159446]}"
000048980dc53fba36bb,1028185200000,0.0,,,,WOLF,311,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66590802979664,37.87171710308957]}"
0000e991181ca1071891,1028185200000,0.96,,,,WOLF,294,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66240622820051,37.87043575544799]}"
00003e5410d8e840c8a6,1028185200000,0.64,,,,WOLF,308,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66541357526442,37.87944144166506]}"
00000dd8dabd0beeed5c,1028185200000,0.0,,,,WOLF,312,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66501179790843,37.8805948959845]}"
000028343d287ebcb2d2,1028185200000,0.97,,,,WOLF,284,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65971375984174,37.88090397558375]}"
00003fc65493da24e097,1028185200000,1.99,,,,WOLF,289,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.66113793194603,37.880358171797354]}"
00001eb127f52eea8b2f,1028185200000,2.77,,,,WOLF,287,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6593377443056,37.87866881253068]}"
00005b56ddad291ca204,1028185200000,0.62,,,,WOLF,288,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6499353956945,37.8849901507702]}"
000064532e272484ac6c,1028185200000,0.99,,,,WOLF,285,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.65313402155064,37.885413669360425]}"
0000aecf0dbf7f05152e,1028185200000,1.11,,,,WOLF,291,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.650498221627,37.88673456133382]}"
0000a7ad82d4c52a3708,1028185200000,2.28,,,,WOLF,299,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6469218610889,37.887193506452846]}"
00005a2d03b1e7007c8c,1028185200000,0.71,,,,WOLF,292,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.64297781108641,37.87578447964248]}"
00007ff8c42a67a18639,1056351600000,0.0,,,,WHISKEY,363,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.60611227510127,37.85065543695371]}"
00007545e2a540dc1880,1056351600000,0.0,,,,WHISKEY,336,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.6073548517115,37.848185989332435]}"
